test_version,question_id,section_key,type,order_index,prompt_en,prompt_bn,answer_index,sentence_ja,sentence_parts_json,dialog_ja,blank_style,image,audio,stem_image,passage_image,table_image,choice1_ja,choice2_ja,choice3_ja,choice4_ja,choice5_ja,choice6_ja,choice1_image,choice2_image,choice3_image,choice4_image,choice5_image,choice6_image,part1_label,part1_question_ja,part1_answer_index,part1_choice1_ja,part1_choice2_ja,part1_choice3_ja,part1_choice4_ja,part1_choice5_ja,part1_choice6_ja,part1_choice1_image,part1_choice2_image,part1_choice3_image,part1_choice4_image,part1_choice5_image,part1_choice6_image,part2_label,part2_question_ja,part2_answer_index,part2_choice1_ja,part2_choice2_ja,part2_choice3_ja,part2_choice4_ja,part2_choice5_ja,part2_choice6_ja,part2_choice1_image,part2_choice2_image,part2_choice3_image,part2_choice4_image,part2_choice5_image,part2_choice6_image
test_exam,SV-1,SV,mcq_image,1,Look at the illustration and choose the correct word.,ছবিটি দেখে সঠিক শব্দটি নির্বাচন করুন।,2,,,,,q1.png,,,,,なきます,おこります,わらいます,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_exam,SV-2,SV,mcq_sentence_blank,2,Read the sentence and choose the word that fits in (   ) the most.,বাক্যটি পড়ে (   ) স্থানে সবচেয়ে উপযুক্ত শব্দটি নির্বাচন করুন।,0,だんだん　日本の　しゅうかんに　（　　）きました。,,,,,,,,,なれて,ふえて,すすんで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_exam,SV-3,SV,mcq_kanji_reading,3,How do you write the underlined kanji word in hiragana? Choose the correct one.,আন্ডারলাইন করা কানজিটি হিরাগানায় কীভাবে লিখবেন? সঠিকটি নির্বাচন করুন।,1,,"[{""text"":""水道"",""underline"":true},{""text"":""が　こわれた　ときは、ここに　でんわして　ください。""}]",,,,,,,,すいとう,すいどう,ずいどう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_exam,SV-4,SV,mcq_sentence_blank,4,Read the sentence and choose the kanji word that fits in (   ) the most.,বাক্যটি পড়ে (   ) স্থানে সবচেয়ে উপযুক্ত কানজি শব্দটি নির্বাচন করুন।,1,とうきょうタワーが　よる　あかるく（　　）いて、とても　きれいでした。,,,,,,,,,乗って,光って,通って,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_exam,CE-1,CE,mcq_dialog_with_image,5,Mei-san is asking Emi-san about baby gifts. Read the dialog and choose the phrase that fits the most.,মেই-সান এমি-সানকে শিশু উপহার সম্পর্কে জিজ্ঞেস করছেন। সংলাপটি পড়ে সবচেয়ে উপযুক্ত বাক্যাংশটি নির্বাচন করুন।,1,,,メイ： えみさん、ちょっと　聞いても　いいですか。|えみ： 何ですか。|メイ： 会社の　せんぱいに　お子さんが　生まれたので、|　　　お祝いに　何か［　　］と　思うんですが、|　　　いくらぐらいの　ものが　いいですか。|えみ： そうですね。会社の　人には　だいたい　５０００円ぐらいの　ものですね。,redBox,ce1_gift.png,,,,,あげない,あげよう,あげるため,あげるつもり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_exam,CE-2,CE,mcq_illustrated_dialog,6,Two people are talking during lunch break at work. Read the dialog and choose the expression that fits the most.,কর্মস্থলে লাঞ্চ ব্রেকের সময় দুজন কথা বলছে। সংলাপটি পড়ে সবচেয়ে উপযুক্ত অভিব্যক্তিটি নির্বাচন করুন।,2,,,,,ce2_dialog.png,,,,,こちらこそ,もう　いちど,また　こんど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_exam,LC-1,LC,mcq_listening_image_choices,7,You will hear two people talking about the New Year holidays at work. What did the man do with his friend during the New Year holidays?,আপনি কর্মস্থলে নববর্ষের ছুটি নিয়ে দুজনের কথা শুনবেন। পুরুষটি বন্ধুর সাথে নববর্ষের ছুটিতে কী করেছে?,0,,,,,,lc1.mp3,lc1_people.png,,,,,,,,,lc1_a.png,lc1_b.png,lc1_c.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_exam,LC-2,LC,mcq_listening_image_choices,8,You will hear a man asking a store staff about products at the convenience store. Which one can the man eat/drink?,আপনি কনভিনিয়েন্স স্টোরে একজন পুরুষকে দোকানের স্টাফকে পণ্যের বিষয়ে জিজ্ঞেস করতে শুনবেন। কোনটি সে খেতে/পান করতে পারে?,2,,,,,,lc2.mp3,lc2_store.png,,,,,,,,,lc2_a.png,lc2_b.png,lc2_c.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_exam,LC-3,LC,mcq_listening_two_part_image,9,You will hear an officer talking about what to do in case of fire at an emergency drill at work.,আপনি কর্মস্থলের জরুরি ফায়ার ড্রিল সম্পর্কে একজন কর্মকর্তার কথা শুনবেন।,,,,,,,lc3.mp3,lc3_officer.png,,,,,,,,,,,,,,,(1),火事が　おきたら、まず　何を　しますか。,0,,,,,,,lc3_1a.png,lc3_1b.png,lc3_1c.png,,,,(2),どこに　ひなん　しますか。,1,,,,,,,lc3_2a.png,lc3_2b.png,lc3_2c.png,,,
test_exam,RC-1,RC,mcq_reading_passage_two_questions,10,You are reading a town's public information magazine. Answer questions (1) and (2).,আপনি একটি শহরের জনতথ্য ম্যাগাজিন পড়ছেন। (1) এবং (2) প্রশ্নের উত্তর দিন।,,,,,,,,,rc1_passage.png,,,,,,,,,,,,,,(1),フェスティバルに　行った　人は　何が　できましたか。,0,歌と　おどりを　見ること,がっきを　買うこと,アクセサリーを　作ること,,,,,,,,,,(2),ホアさんは　スピーチコンテストに　参加して　どう　思いましたか。,0,スピーチの　けいけんが　なかったけど、うまく　いった,自分の　スピーチを　わらわれて、かなしかった,日本人の　英語の　スピーチが　上手で、びっくりした,,,,,,,,,
test_exam,RC-2,RC,mcq_reading_table_two_questions,11,Kumaru-san received instructions on medicines at the pharmacy. Read the instructions and answer questions (1) and (2).,কুমারু-সান ফার্মেসিতে ওষুধের নির্দেশনা পেয়েছেন। নির্দেশনা পড়ে (1) ও (2) প্রশ্নের উত্তর দিন।,,,,,,,,,,rc2_table.png,,,,,,,,,,,,,(1),セキドミカプセルは　１回に　いくつ　飲みますか。,0,２つ,３つ,５つ,,,,,,,,,,(2),飲んだ　後、ねむくなるかもしれないのは　どれですか。,1,ネツナレ錠,セキドミカプセル,タントレン錠,,,,,,,,,